subject_group	total
Climate, Environment, Natural Resources & Disasters/Earth movements	20
Climate, Environment, Natural Resources & Disasters/Water-supply - Australia	35
Agriculture, Business, Commerce & Industry/Indians of North America - Industries	4
Places/Murray River (N.S.W.-S. Aust.)	46
Hobbies, Recreation & Sport/Leisure - Australia	16
Anthropology, Ethnology, Exploration & Travel/Egypt	19
Economics, Philosophy, Politics, Religion & Sociology/Canada - Emigration and immigration	23
Agriculture, Business, Commerce & Industry/Sugar growing - Queensland	9
Mathematics, Science & Technology/Liquids	15
Education, Instruction, Teaching & Schools/Running - Training	14
History/Germany - History	52
Economics, Philosophy, Politics, Religion & Sociology/Great Britain - Churches	6
Places/Tamworth (N.S.W.)	3
People/Grateful Dead (Musical group)	3
Crafts & Visual Arts/Raphael, 1483-1520	10
Climate, Environment, Natural Resources & Disasters/Energy policy	7
History/Children - Australia - History	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Physiology - Juvenile films	6
Music & Performing Arts/Barrymore, John, 1882-1942	1
Family, Gender Identity, Relationships & Sexuality/Attitude change in children	26
Mathematics, Science & Technology/Automation	32
Music & Performing Arts/Butterley, Nigel	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Posture	9
History/Paracelsus, 1493-1541	1
History/Canada - History - To 1763 (New France)	3
Crafts & Visual Arts/Glass - Workers	6
Economics, Philosophy, Politics, Religion & Sociology/Housing - Hong Kong	4
People/Loeb, Richard H., 1905 or 6-1936	1
Climate, Environment, Natural Resources & Disasters/Wardell-Johnson, Grant	1
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - Production and direction - Australia	46
History/Japan - History	36
Advertising, Film, Journalism, Mass Media & TV/Expressionism in motion pictures	32
History/United States - History	133
History/Adenauer, Konrad, 1876-1967	12
Mathematics, Science & Technology/Electricity	99
People/Boyd, Arthur, 1920-	12
People/Rembrandt Harmenszoon van Rijn, 1606-1669	18
Crafts & Visual Arts/Experimental design	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/School children	74
People/Shepard, Alan B. (Alan Bartlett), 1923-	1
Places/Mitta Mitta River (Vic.)	2
Economics, Philosophy, Politics, Religion & Sociology/International Labor Organization	5
People/Jagger, Mick	3
Communications, Infrastructure, & Transport/Navigation	17
Hobbies, Recreation & Sport/Sports - Canada	47
Food, Health, Lifestyle, Medicine, Psychology & Safety/Self-perception	54
Agriculture, Business, Commerce & Industry/Dairy research - Australia	7
Food, Health, Lifestyle, Medicine, Psychology & Safety/Lungs - Cancer	20
Music & Performing Arts/Brubeck, Dave, 1920-	4
Anthropology, Ethnology, Exploration & Travel/Canada - Climate	10
Anthropology, Ethnology, Exploration & Travel/East Timor	19
Places/Residential areas - Melbourne (Vic.)	5
History/Soviet Union - History	24
Economics, Philosophy, Politics, Religion & Sociology/Geishas - Japan	7
Agriculture, Business, Commerce & Industry/Quarantine - Australia	7
Advertising, Film, Journalism, Mass Media & TV/Weather reporting, Radio	4
Economics, Philosophy, Politics, Religion & Sociology/Trade-unions - Australia	32
Communications, Infrastructure, & Transport/Airlines	18
Crafts & Visual Arts/Textile fabrics	56
Economics, Philosophy, Politics, Religion & Sociology/Local government - Australia	15
Food, Health, Lifestyle, Medicine, Psychology & Safety/Dwellings - Fires and fire prevention	31
Places/Andes	8
People/Wilson, Lorraine	1
Communications, Infrastructure, & Transport/Fire control	47
Climate, Environment, Natural Resources & Disasters/Solar houses	4
Advertising, Film, Journalism, Mass Media & TV/Television - Stage-setting and scenery	2
Music & Performing Arts/Coltrane, John, 1926-1967	2
Crafts & Visual Arts/Apocalyptic art	4
Communications, Infrastructure, & Transport/Drinking and traffic accidents	17
Food, Health, Lifestyle, Medicine, Psychology & Safety/Physiotherapy	6
Agriculture, Business, Commerce & Industry/Aquaculture	4
Anthropology, Ethnology, Exploration & Travel/Cities and towns - Interpretive programs	53
Literature/Kerouac, Jack, 1922-1969	4
Crafts & Visual Arts/Bonnard, Pierre, 1867-1947	3
People/Batterham, Genni	3
Mathematics, Science & Technology/Biology - Study and teaching	261
Climate, Environment, Natural Resources & Disasters/Plant cells and tissue	10
Anthropology, Ethnology, Exploration & Travel/Caravans	6
People/Philip II, King of Macedonia, 382-336 B.C.	1
People/Ledoux, Claude-Nicolas, 1736-1806	1
Crafts & Visual Arts/Art, Romanesque	3
Food, Health, Lifestyle, Medicine, Psychology & Safety/Adaptability (Psychology)	7
People/Corot, Jean-Baptiste-Camille, 1796-1875	1
Economics, Philosophy, Politics, Religion & Sociology/Australia - Constitution	15
Crime, Espionage, Justice, Police & Prisons/Vandalism	17
Crafts & Visual Arts/Painting - Forgeries	3
Anthropology, Ethnology, Exploration & Travel/Human settlements	26
Music & Performing Arts/English drama	39
Agriculture, Business, Commerce & Industry/Interview techniques	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Psychiatry, Transcultural	5
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Asia	19
Climate, Environment, Natural Resources & Disasters/Weathering	11
Agriculture, Business, Commerce & Industry/Employee competitive behavior	10
People/Howard, Ron, 1954-	1
People/Selye, Hans, 1907-	2
Agriculture, Business, Commerce & Industry/Clothing trade	19
Climate, Environment, Natural Resources & Disasters/Beaches	54
Advertising, Film, Journalism, Mass Media & TV/Puppet films	261
People/Whitlam, Margaret	3
History/Courts and courtiers	3
Aboriginal Australia/Culture diffusion	30
Climate, Environment, Natural Resources & Disasters/Parks - Australia	6
Mathematics, Science & Technology/Chemistry - Research	28
Family, Gender Identity, Relationships & Sexuality/Bereavement - Psychological aspects	9
Food, Health, Lifestyle, Medicine, Psychology & Safety/Health	295
Food, Health, Lifestyle, Medicine, Psychology & Safety/Caterers and Catering - Hygienic Aspects	6
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Papua New Guinea	9
Music & Performing Arts/Dancing	95
People/Bijou, Sidney W. (Sidney William), 1908-	2
Anthropology, Ethnology, Exploration & Travel/Tuvalu	1
People/Armstrong, Louis, 1900-1971	14
Animals & Wildlife/Food chains	21
Anthropology, Ethnology, Exploration & Travel/Leahy, Joe	2
Anthropology, Ethnology, Exploration & Travel/Korumburra (Vic)	2
History/France - History	174
Crafts & Visual Arts/Environment (Art)	22
Family, Gender Identity, Relationships & Sexuality/Social interaction	1
Animals & Wildlife/Poaching - Africa	3
Anthropology, Ethnology, Exploration & Travel/Venezuela - Description and travel	6
Anthropology, Ethnology, Exploration & Travel/Seaside communities	29
Agriculture, Business, Commerce & Industry/Lumber trade	11
Crafts & Visual Arts/Sculpture, Spanish	5
Mathematics, Science & Technology/Medical technology	43
People/Johnson, Amy, 1903-1941	3
Crafts & Visual Arts/Color - Physiological aspects	12
Economics, Philosophy, Politics, Religion & Sociology/Halfway houses	3
Hobbies, Recreation & Sport/Cricket - Coaching	8
Music & Performing Arts/Puppets	50
Economics, Philosophy, Politics, Religion & Sociology/Photography - Social aspects	10
History/Curtin, John, 1885-1945	4
Mathematics, Science & Technology/Proportion	4
People/Plato	3
Economics, Philosophy, Politics, Religion & Sociology/Depressions - 1929 - United States	22
Agriculture, Business, Commerce & Industry/Industries - Japan	36
Places/Mt. Gambier (S. Aust.)	3
History/Revolutions - Iran	3
Agriculture, Business, Commerce & Industry/Export marketing	40
Anthropology, Ethnology, Exploration & Travel/Australian National Antarctic Research Expeditions	3
Education, Instruction, Teaching & Schools/Discipline	18
Music & Performing Arts/Jam (Musical group)	1
History/Celts	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drug abuse	109
History/Philip of Spain	3
Animals & Wildlife/Anatomy, Comparative	5
People/Halliwell, Kenneth	1
Agriculture, Business, Commerce & Industry/Stock brokers	1
Economics, Philosophy, Politics, Religion & Sociology/City planning - London (England)	14
Mathematics, Science & Technology/Natural selection	13
Food, Health, Lifestyle, Medicine, Psychology & Safety/Malaria	8
History/Military art and science - History	19
Advertising, Film, Journalism, Mass Media & TV	1
Food, Health, Lifestyle, Medicine, Psychology & Safety/Drug abuse - Australia - Prevention	3
Anthropology, Ethnology, Exploration & Travel/Alaska - Description and travel	11
People/Delius, Frederick, 1862-1934	1
Education, Instruction, Teaching & Schools/School environment	41
Armed Forces, Military, War & Weapons/Lebanon - Civil War, 1975-1990	6
Advertising, Film, Journalism, Mass Media & TV/Motion pictures, Australian	16
History/Rome - History - Empire - 30BC-476AD	34
Animals & Wildlife/Animals - Infancy	62
Agriculture, Business, Commerce & Industry/Middle East - Rural conditions	4
Anthropology, Ethnology, Exploration & Travel/Cartography	32
Agriculture, Business, Commerce & Industry/Solar cells	6
Economics, Philosophy, Politics, Religion & Sociology/Religious films	49
Music & Performing Arts/Grateful Dead (Musical group)	3
History/Gorton, John, Sir	2
Magic, Occult & Supernatural/Vampires	77
People/Smith, Tommy [Thomas John], 1920-	1
Economics, Philosophy, Politics, Religion & Sociology/Supply and demand	5
People/Ranson, Paul, 1861-1909	1
Anthropology, Ethnology, Exploration & Travel/Banff National Park (Alta.)	6
Music & Performing Arts/Electronic music	44
Anthropology, Ethnology, Exploration & Travel/New Zealand - Description and travel	71
History/Missions - Northern Territory	6
Mathematics, Science & Technology/Machine design	22
Advertising, Film, Journalism, Mass Media & TV/Religious films	49
Anthropology, Ethnology, Exploration & Travel/Alice Springs (N.T.)	27
Hobbies, Recreation & Sport/Boxers - Biography	13
People/Hawke, Hazel, 1929-	1
Hobbies, Recreation & Sport/Beauty contests	11
Hobbies, Recreation & Sport/Life-saving	29
People/Nixon, Richard M. (Richard Milhous), 1913-1994	16
Anthropology, Ethnology, Exploration & Travel/Papua New Guinea - Description and travel	19
People/Prostitutes - Personal narratives	8
People/Piano, Renzo	1
Economics, Philosophy, Politics, Religion & Sociology/Papua New Guinea - Economic conditions	21
Crime, Espionage, Justice, Police & Prisons/Criminal investigation	81
Advertising, Film, Journalism, Mass Media & TV/Warner, Jack, 1916-	1
Communications, Infrastructure, & Transport/Railroads - Construction	21
Agriculture, Business, Commerce & Industry/Coalminers	10
People/McLuhan, Marshall, 1911-1980	4
Crafts & Visual Arts/Art - Study and teaching	271
Advertising, Film, Journalism, Mass Media & TV/Motion pictures - Australia - History	48
Crafts & Visual Arts/African American art	3
Family, Gender Identity, Relationships & Sexuality/Physical therapy for children	4
Literature/American literature - Film and video adaptations	581
Advertising, Film, Journalism, Mass Media & TV/Rossellini, Roberto, 1906-1977	1
Animals & Wildlife/Mollusks	10
Advertising, Film, Journalism, Mass Media & TV/Kunoth, Ngarla	2
Anthropology, Ethnology, Exploration & Travel/Broome (W.A.)	12
Literature/Norwegian literature - Film and video adaptations	8
Climate, Environment, Natural Resources & Disasters/State Electricity Commission of Victoria	15
Agriculture, Business, Commerce & Industry/Canada - Rural conditions	24
Places/Statue of Liberty (New York, N.Y)	7
Mathematics, Science & Technology/Food - Analysis	12
People/Erikson, Erik H. (Erik Homburger), 1902-	9
Economics, Philosophy, Politics, Religion & Sociology/Robinson, Mary, 1944-	1
Economics, Philosophy, Politics, Religion & Sociology/Women - India	17
Anthropology, Ethnology, Exploration & Travel/Christmas	74
Education, Instruction, Teaching & Schools/Basketball - Training	27
Animals & Wildlife/Slugs (Mollusks)	3
Places/Trieste (Italy)	1
Advertising, Film, Journalism, Mass Media & TV/Academy awards (Motion pictures)	301
Music & Performing Arts/Scott, Bon, 1946-1980	1
Animals & Wildlife/Birds - Victoria	10
Armed Forces, Military, War & Weapons/World War, 1939-1945 - Propaganda	24
Hobbies, Recreation & Sport/Hats	8
Food, Health, Lifestyle, Medicine, Psychology & Safety/Social psychology	46
People/Lindsey, Terrence	1
People/Graham, Katherine	1
Armed Forces, Military, War & Weapons/Wolfe, James, 1727-1759	1
Music & Performing Arts/Theater	85
History/Islam - History	13
Literature/Shelley, Percy Bysshe, 1792-1822	2
Food, Health, Lifestyle, Medicine, Psychology & Safety/Physical therapy	16
Advertising, Film, Journalism, Mass Media & TV/Newspapers - Employees	7
Anthropology, Ethnology, Exploration & Travel/French-Canadians	20
People/Kalokerinos, Archie	1
Places/Buckingham Palace (London, England)	7
Economics, Philosophy, Politics, Religion & Sociology/Commonwealth Employment Service	3
Agriculture, Business, Commerce & Industry/Power resources - New Zealand	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Virus diseases	17
Economics, Philosophy, Politics, Religion & Sociology/Community power	40
Climate, Environment, Natural Resources & Disasters/Trees - Australia	25
Economics, Philosophy, Politics, Religion & Sociology/Social control	13
Economics, Philosophy, Politics, Religion & Sociology/Politics - Australia	32
History/Essex, Robert Devereux, Earl of, 1566-1601	1
Advertising, Film, Journalism, Mass Media & TV/Women in the broadcasting industry	3
Crafts & Visual Arts/Artists' tools	22
People/Deakin, Alfred, 1856-1919	1
Education, Instruction, Teaching & Schools/School attendance	4
Food, Health, Lifestyle, Medicine, Psychology & Safety/Millinery	2
Education, Instruction, Teaching & Schools/Clothing, Protective	20
Food, Health, Lifestyle, Medicine, Psychology & Safety/Medicine - Study and teaching	56
History/Basilica di San Pietro in Vaticano	7
Anthropology, Ethnology, Exploration & Travel/London (England) - Description and travel	28
Crafts & Visual Arts/Photography - Social aspects - History	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Organizational effectiveness	14
Food, Health, Lifestyle, Medicine, Psychology & Safety/Medication abuse	11
